year,total_revenue_pct_gdp,total_expenditure_pct_gdp,health_expenditure_pct,education_expenditure_pct,social_protection_pct,interest_payments_pct,date_key,quarter,source,country_code
2010,40.5,51.9,6.4,6.0,18.2,2.8,2010-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2011,42.3,50.0,6.1,5.6,18.8,3.5,2011-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2012,42.6,48.8,5.9,5.2,18.5,4.5,2012-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2013,44.7,50.0,5.9,5.2,19.0,5.0,2013-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2014,44.3,51.7,6.0,5.2,19.8,4.9,2014-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2015,43.8,48.3,5.9,5.1,19.0,4.5,2015-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2016,42.9,44.9,5.8,5.0,18.2,4.2,2016-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2017,42.5,45.5,5.9,5.1,18.0,3.9,2017-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2018,42.9,43.3,6.0,5.2,17.6,3.5,2018-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2019,42.6,42.5,6.0,5.2,17.4,3.1,2019-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2020,43.4,49.1,7.0,5.4,19.2,2.5,2020-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2021,44.5,47.3,6.8,5.5,18.8,2.4,2021-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2022,43.6,43.9,6.4,5.4,18.0,2.6,2022-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2023,43.2,42.0,6.3,5.3,17.8,2.4,2023-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2024,43.0,42.4,6.2,5.2,17.6,2.2,2024-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
2025,43.4,42.7,6.1,5.2,17.5,2.1,2025-Q4,4,"Eurostat (gov_10a_main, gov_10a_exp) synthetic",PT
